city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
almas,1,78.0,35.56,1,0,-12.427708333333333,1,4.0,0.0,0.0,0.0,0.4558974358974359
almenara,14,2872.15,340.18,14,0,-13.44119460978836,14,4.214285714285714,1.0,0.0,7.142857142857142,0.11844088922932298
almino afonso,1,299.9,170.11,1,0,-22.08931712962963,1,4.0,0.0,0.0,0.0,0.5672224074691564
almirante tamandare,35,4255.69,786.14,35,0,-13.170664351851853,35,4.228571428571429,5.0,0.0,14.285714285714285,0.1847268010592877
almirante tamandare do sul,1,49.9,15.1,1,0,-21.51508101851852,1,4.0,0.0,0.0,0.0,0.3026052104208417
alpercata,2,228.8,31.97,2,0,-19.211435185185188,2,4.5,0.0,0.0,0.0,0.13972902097902096
alpestre,1,118.9,18.08,1,0,-12.21167824074074,1,4.0,0.0,0.0,0.0,0.15206055508830948
alpinopolis,7,836.6800000000001,132.77,7,0,-17.566785714285714,7,4.857142857142857,0.0,0.0,0.0,0.1586867141559497
alta floresta,12,3495.55,455.53,12,0,-16.00104359567901,12,4.583333333333333,0.0,0.0,0.0,0.13031711747793623
alta floresta d'oeste,3,669.89,135.61,3,0,-21.848341049382714,3,3.3333333333333335,1.0,0.0,33.33333333333333,0.2024362208720835
altamira,25,5168.15,1231.69,25,4,-10.760976388888889,24,3.9166666666666665,5.0,16.0,20.833333333333336,0.23832319108385014
altamira do parana,2,259.1,48.010000000000005,2,0,-18.287633101851853,2,5.0,0.0,0.0,0.0,0.18529525279814743
altaneira,2,369.6,126.66,2,0,-20.334340277777777,2,3.0,1.0,0.0,50.0,0.34269480519480516
alterosa,3,252.3,56.339999999999996,3,0,-15.48449074074074,3,4.666666666666667,0.0,0.0,0.0,0.2233055885850178
altinho,2,363.79999999999995,86.02,1,0,-26.352546296296296,2,3.0,1.0,0.0,50.0,0.23644859813084115
altinopolis,4,1428.8,77.24000000000001,4,0,-11.049372106481481,4,5.0,0.0,0.0,0.0,0.05405935050391938
alto alegre,3,307.89,58.519999999999996,3,0,-10.6742862654321,3,5.0,0.0,0.0,0.0,0.19006788138620936
alto alegre do iguacu,2,74.69999999999999,152.55,2,0,-10.38005787037037,2,4.5,0.0,0.0,0.0,2.0421686746987957
alto alegre do maranhao,1,88.9,34.42,1,0,-19.41712962962963,1,5.0,0.0,0.0,0.0,0.3871766029246344
